Name,Route,Location
Los Glaciares National Park,los_glaciares_national_park,Argentina
Machu Picchu,machu_picchu,Peru
Yunnan Shilin National Park,yunnan_shilin_national_park,China
Göreme National Park,göreme_national_park,Turkey
Etosha National Park,etosha_national_park,Namibia
Kakadu National Park,kakadu_national_park,Australia
Zhangjiajie National Forest Park,zhangjiajie_national_forest_park,China
Gran Paradiso National Park,gran_paradiso_national_park,Italy
Valley of Flowers National Park,valley_of_flowers_national_park,India
Kumtag Desert National Park,kumtag_desert_national_park,China
Tatra National Park,tatra_national_park,Poland
Borjomi-Kharagauli National Park,borjomi-kharagauli_national_park,Georgia
Lake District National Park,lake_district_national_park,England
Fuji-Hakone-Izu National Park,fuji-hakone-izu_national_park,Japan
Swiss National Park,swiss_national_park,Switzerland
Taroko National Park,taroko_national_park,Taiwan
Chitwan National Park,chitwan_national_park,Nepal
Yulong Xueshan National Park,yulong_xueshan_national_park,China
Great Barrier Reef Marine Park,great_barrier_reef_marine_park,Australia
Pyrénées National Park,pyrénées_national_park,France
Mu Koh Similan National Park,mu_koh_similan_national_park,Thailand
Durmitor National Park,durmitor_national_park,Montenegro
Olympus National Park,olympus_national_park,Greece
Huangshan National Park,huangshan_national_park,China
Kilimanjaro National Park,kilimanjaro_national_park,Tanzania
Band-e Amir National Park,band-e_amir_national_park,Afghanistan
Jostedalsbreen National Park,jostedalsbreen_national_park,Norway
Komodo National Park,komodo_national_park,Indonesia
Iguazú National Park,iguazú_national_park,Argentina
Namib-Naukluft National Park,namib-naukluft_national_park,Namibia
Guilin and Lijiang River National Park,guilin_and_lijiang_river_national_park,China
Galapagos National Park,galapagos_national_park,Ecuador
Jasper National Park,jasper_national_park,Canada
Snowdonia National Park,snowdonia_national_park,Wales
Pantanal Matogrossense National Park,pantanal_matogrossense_national_park,Brazil
Jiuzhai Valley National Park,jiuzhai_valley_national_park,China
Cinque Terre National Park,cinque_terre_national_park,Italy
Tongariro National Park,tongariro_national_park,New Zealand
Tulum National Park,tulum_national_park,Mexico
Arenal Volcano National Park,arenal_volcano_national_park,Costa Rica
Kruger National Park,kruger_national_park,South Africa
Vatnajokull National Park,vatnajokull_national_park,Iceland
Sagarmatha National Park,sagarmatha_national_park,Nepal
Canaima National Park,canaima_national_park,Venezuela
Berchtesgaden National Park,berchtesgaden_national_park,Germany
Danxia National Geological Park,danxia_national_geological_park,China
Plitvice Lakes National Park,plitvice_lakes_national_park,Croatia
Fiordland National Park,fiordland_national_park,New Zealand
Torres del Paine National Park,torres_del_paine_national_park,Chile
Banff National Park,banff_national_park,Canada
Serengeti National Park,serengeti_national_park,Tanzania
Acadia National Park,acadia_national_park,Maine, United States
Arches National Park,arches_national_park,Utah, United States
Badlands National Park,badlands_national_park,South Dakota, United States
Big Bend National Park,big_bend_national_park,Texas, United States
Biscayne National Park,biscayne_national_park,Florida, United States
Black Canyon Of The Gunnison National Park,black_canyon_of_the_gunnison_national_park,Colorado, United States
Bryce Canyon National Park,bryce_canyon_national_park,Utah, United States
Canyonlands National Park,canyonlands_national_park,Utah, United States
Capitol Reef National Park,capitol_reef_national_park,Utah, United States
Carlsbad Caverns National Park,carlsbad_caverns_national_park,New Mexico, United States
Channel Islands National Park,channel_islands_national_park,California, United States
Congaree National Park,congaree_national_park,South Carolina, United States
Crater Lake National Park,crater_lake_national_park,Oregon, United States
Cuyahoga Valley National Park,cuyahoga_valley_national_park,Ohio, United States
Death Valley National Park,death_valley_national_park,California, United States
Denali National Park & Preserve,denali_national_park_&_preserve,Alaska, United States
Dry Tortugas National Park,dry_tortugas_national_park,Florida, United States
Everglades National Park,everglades_national_park,Florida, United States
Gates Of The Arctic National Park & Preserve,gates_of_the_arctic_national_park_&_preserve,Alaska, United States
Gateway Arch National Park,gateway_arch_national_park,Missouri, United States
Glacier Bay National Park & Preserve,glacier_bay_national_park_&_preserve,Alaska, United States
Glacier National Park,glacier_national_park,Alaska, United States
Grand Canyon National Park,grand_canyon_national_park,Arizona, United States
Grand Teton National Park,grand_teton_national_park,Wyoming, United States
Great Basin National Park,great_basin_national_park,Nevada, United States
Great Sand Dunes National Park & Preserve,great_sand_dunes_national_park_&_preserve,Colorado, United States
Great Smoky Mountains National Park,great_smoky_mountains_national_park,North Carolina and Tennessee, United States
Guadalupe Mountains National Park,guadalupe_mountains_national_park,Texas, United States
Haleakalā National Park,haleakala_national_park,Hawaii, United States
Hawaiʻi Volcanoes National Park,hawaiʻi_volcanoes_national_park,Hawaii, United States
Hot Springs National Park,hot_springs_national_park,Arkansas, United States
Indiana Dunes National Park,indiana_dunes_national_park,Indiana, United States
Isle Royale National Park,isle_royale_national_park,Michigan, United States
Joshua Tree National Park,joshua_tree_national_park,California, United States
Katmai National Park & Preserve,katmai_national_park_&_preserve,Alaska, United States
Kenai Fjords National Park,kenai_fjords_national_park,Alaska, United States
Kobuk Valley National Park,kobuk_valley_national_park,Alaska, United States
Lake Clark National Park & Preserve,lake_clark_national_park_&_preserve,Alaska, United States
Lassen Volcanic National Park,lassen_volcanic_national_park,California, United States
Mammoth Cave National Park,mammoth_cave_national_park,United States
Mesa Verde National Park,mesa_verde_national_park,United States
Mount Rainier National Park,mount_rainier_national_park,Washington, United States
National Park of American Samoa,national_park_of_american_samoa,American Samoa, United States
New River Gorge National Park & Preserve,new_river_gorge_national_park_&_preserve,West Virginia, United States
North Cascades National Park,north_cascades_national_park,Washington, United States
Olympic National Park,olympic_national_park,Washington, United States
Petrified Forest National Park,petrified_forest_national_park,Arizona, United States
Pinnacles National Park,pinnacles_national_park,California, United States
Rocky Mountain National Park,rocky_mountain_national_park,Colorado, United States
Saguaro National Park,saguaro_national_park,Arizona, United States
Sequoia & Kings Canyon National Parks,sequoia_&_kings_canyon_national_parks,California, United States
Shenandoah National Park,shenandoah_national_park,Virginia, United States
Theodore Roosevelt National Park,theodore_roosevelt_national_park,North Dakota, United States
Virgin Islands National Park,virgin_islands_national_park,Virgin Islands, United States
Voyageurs National Park,voyageurs_national_park,Minnesota, United States
White Sands National Park,white_sands_national_park,New Mexico, United States
Wind Cave National Park,wind_cave_national_park,South Dakota, United States
Wrangell - St Elias National Park & Preserve,wrangell_-_st_elias_national_park_&_preserve,Alaska, United States
Yellowstone National Park,yellowstone_national_park,Idaho, United States
Yosemite National Park,yosemite_national_park,California, United States
Zion National Park,zion_national_park,Utah, United States
